Name,Skill,Luck,Net_score
W2DQ,899,99,714.3846153846154
ZKXS,899,97,713.9230769230769
KVMU,899,95,713.4615384615385
6BE9,900,91,713.3076923076923
TM4I,897,98,712.6153846153846
CJJ5,897,97,712.3846153846154
AQTC,897,95,711.9230769230769
DWYZ,897,94,711.6923076923077
MALZ,899,83,710.6923076923077
VV0X,900,78,710.3076923076923
U441,899,81,710.2307692307693
PZOF,896,87,709.3076923076923
J2SP,894,93,709.1538461538462
P784,895,89,709.0
99G7,899,75,708.8461538461538
37GT,898,78,708.7692307692307
7CBX,898,78,708.7692307692307
WHLB,900,71,708.6923076923077
NKSE,896,84,708.6153846153846
VJ2D,898,76,708.3076923076923
53GR,898,75,708.0769230769231
JGD5,897,77,707.7692307692307
LRL4,890,100,707.6923076923077
VSAZ,896,80,707.6923076923077
L1VR,895,83,707.6153846153846
K18V,898,73,707.6153846153846
0YPK,893,87,707.0
3WDO,899,67,707.0
B6HT,889,100,706.9230769230769
JKFC,898,70,706.9230769230769
HNJA,898,69,706.6923076923077
XAO0,896,75,706.5384615384615
LOIW,892,87,706.2307692307693
PDNG,889,97,706.2307692307693
0QMB,890,93,706.0769230769231
61VX,890,93,706.0769230769231
WAAQ,899,63,706.0769230769231
AYDL,896,72,705.8461538461538
FSWC,894,78,705.6923076923077
R10O,892,83,705.3076923076923
FEKF,900,56,705.2307692307693
6IDQ,888,95,705.0
03XU,894,75,705.0
HJLJ,894,74,704.7692307692307
TJ94,893,77,704.6923076923077
1F0F,887,96,704.4615384615385
SUKU,892,79,704.3846153846154
0VV6,899,55,704.2307692307693
ZHKC,896,64,704.0
CC2S,898,57,703.9230769230769
GVA4,895,67,703.9230769230769
AUMG,888,90,703.8461538461538
5X2D,894,70,703.8461538461538
PC47,900,50,703.8461538461538
0N2Z,887,93,703.7692307692307
UL9Y,896,63,703.7692307692307
5RJ4,895,66,703.6923076923077
57I2,895,66,703.6923076923077
6PQZ,890,82,703.5384615384615
TNXF,885,98,703.3846153846154
GUR3,886,93,703.0
2XNC,892,72,702.7692307692307
IKLO,895,61,702.5384615384615
PBPU,900,44,702.4615384615385
VM1Q,893,67,702.3846153846154
PA3J,893,65,701.9230769230769
FTOL,890,75,701.9230769230769
794H,890,75,701.9230769230769
OEUR,887,85,701.9230769230769
FQFK,892,68,701.8461538461538
R4A5,888,81,701.7692307692307
V4BH,899,44,701.6923076923077
CRJH,886,87,701.6153846153846
3HWA,885,90,701.5384615384615
0ZO5,895,56,701.3846153846154
6ORS,895,56,701.3846153846154
7C2J,894,59,701.3076923076923
9D4F,894,58,701.0769230769231
SVIJ,885,88,701.0769230769231
GGOP,890,71,701.0
40FY,896,51,701.0
GXN3,883,93,700.6923076923077
5VKG,883,93,700.6923076923077
LI0B,889,73,700.6923076923077
I9OV,888,76,700.6153846153846
9M0X,894,56,700.6153846153846
K9XC,894,56,700.6153846153846
3PJS,899,39,700.5384615384615
YRCY,889,72,700.4615384615385
WYLV,900,35,700.3846153846154
1J0B,896,48,700.3076923076923
UW9X,883,91,700.2307692307693
N4TG,892,61,700.2307692307693
W8OZ,892,61,700.2307692307693
9YBP,883,91,700.2307692307693
BJGB,897,44,700.1538461538462
NIFH,884,87,700.0769230769231
P3OF,892,60,700.0
00NE,899,36,699.8461538461538
ZQ0K,892,59,699.7692307692307
